element_index,center_y_mm,length_mm,minimum_gap_mm,amplitude_mm,periods
1,-57.39999999999999,28.0,7.0,0.0,1
2,-49.199999999999996,28.0,1.75,2.625,2
3,-41.0,28.0,1.5,2.75,2
4,-32.8,28.0,1.5,2.75,1
5,-24.599999999999998,28.0,2.0,2.5,1
6,-16.4,28.0,7.0,0.0,1
7,-8.2,28.0,7.0,0.0,1
8,0.0,28.0,7.0,0.0,1
9,8.2,28.0,7.0,0.0,1
10,16.4,28.0,7.0,0.0,1
11,24.599999999999998,28.0,2.0,2.5,1
12,32.8,28.0,1.5,2.75,1
13,41.0,28.0,1.5,2.75,2
14,49.199999999999996,28.0,1.75,2.625,2
15,57.39999999999999,28.0,7.0,0.0,1
